Date;Open;High;Low;Close;Volume
2004.06.11 07:18;384;384.1;384;384;3
2004.06.11 07:23;384.1;384.1;384;384;2
2004.06.11 07:24;383.8;383.8;383.8;383.8;1
2004.06.11 07:25;383.8;384.3;383.8;384.3;3
2004.06.11 07:27;383.8;383.8;383.8;383.8;1
2004.06.11 07:28;383.8;383.8;383.8;383.8;1
2004.06.11 07:29;384.3;384.3;384.3;384.3;1
2004.06.11 07:31;383.8;383.8;383.8;383.8;1
2004.06.11 07:32;383.8;383.8;383.8;383.8;1
2004.06.11 07:35;383.8;383.8;383.8;383.8;1
2004.06.11 07:37;384.3;384.3;384.3;384.3;1
2004.06.11 07:38;383.8;383.8;383.6;383.6;2
2004.06.11 07:39;384.1;384.1;383.8;383.8;2
2004.06.11 07:41;384.1;384.1;384.1;384.1;1
2004.06.11 07:42;383.6;383.6;383.6;383.6;1
2004.06.11 07:43;383.6;383.6;383.6;383.6;1
2004.06.11 07:44;383.8;383.8;383.8;383.8;1
2004.06.11 07:45;383.3;383.3;383.3;383.3;1
2004.06.11 07:46;383.3;383.3;383.3;383.3;1
2004.06.11 07:47;383.5;383.5;383.5;383.5;1
2004.06.11 07:48;383.3;383.3;383.3;383.3;1
2004.06.11 07:49;383.3;383.3;383.3;383.3;1
2004.06.11 07:50;383.3;383.3;383.3;383.3;1
2004.06.11 07:51;383.5;383.5;383.3;383.3;2
2004.06.11 07:52;383.6;383.6;383.6;383.6;1
2004.06.11 07:53;383.8;383.8;383.8;383.8;1
2004.06.11 07:54;383.6;383.6;383.5;383.5;2
2004.06.11 07:56;383.6;383.6;383.5;383.5;2
2004.06.11 07:58;383.8;383.8;383.6;383.6;5
2004.06.11 07:59;383.8;383.8;383.8;383.8;1
2004.06.11 08:00;383.8;383.8;383.8;383.8;1
2004.06.11 08:03;383.8;384.1;383.8;384.1;2
2004.06.11 08:04;383.8;383.8;383.6;383.6;3
2004.06.11 08:11;384.1;384.1;384.1;384.1;1
2004.06.11 08:12;383.6;383.6;383.6;383.6;1
2004.06.11 08:15;383.6;383.8;383.6;383.8;3
2004.06.11 08:16;383.6;383.6;383.6;383.6;1
2004.06.11 08:17;383.6;384.3;383.6;384.3;2
2004.06.11 08:18;383.8;383.8;383.8;383.8;1
2004.06.11 08:19;383.6;383.8;383.6;383.8;2
2004.06.11 08:20;383.6;383.8;383.6;383.8;2
2004.06.11 08:22;384.1;384.1;384.1;384.1;1
2004.06.11 08:23;383.6;383.6;383.6;383.6;1
2004.06.11 08:24;383.5;384;383.5;384;3
2004.06.11 08:25;383.6;383.6;383.6;383.6;1
2004.06.11 08:26;383.5;383.6;383.5;383.6;2
2004.06.11 08:29;383.5;383.5;383.5;383.5;1
2004.06.11 08:32;383.3;383.3;383.3;383.3;1
2004.06.11 08:33;383.5;383.5;383.5;383.5;1
2004.06.11 08:34;383.3;383.5;383.3;383.5;2
2004.06.11 08:37;383.5;383.5;383.5;383.5;1
2004.06.11 08:39;383.5;383.5;383.5;383.5;1
2004.06.11 08:41;383.5;383.5;383.5;383.5;1
2004.06.11 08:45;383.3;383.3;383.3;383.3;1
2004.06.11 08:48;383.3;383.3;383.3;383.3;1
2004.06.11 08:50;383.1;383.1;383.1;383.1;1
2004.06.11 08:53;383.1;383.1;383.1;383.1;1
2004.06.11 08:54;383.1;383.1;383.1;383.1;1
2004.06.11 08:58;383.1;383.1;383.1;383.1;1
2004.06.11 09:01;383.1;383.1;383.1;383.1;1
2004.06.11 09:07;383.5;383.5;383.5;383.5;1
2004.06.11 09:08;383.8;383.8;383.6;383.8;3
2004.06.11 09:09;383.8;383.8;383.8;383.8;1
2004.06.11 09:12;383.8;384.1;383.6;383.6;3
2004.06.11 09:16;383.8;383.8;383.8;383.8;1
2004.06.11 09:18;384;384;384;384;1
2004.06.11 09:19;383.8;384;383.8;383.8;3
2004.06.11 09:20;383.6;383.6;383.6;383.6;1
2004.06.11 09:21;383.6;383.6;383.6;383.6;1
2004.06.11 09:24;383.1;383.1;383.1;383.1;1
