,equity
2024-01-01 00:00:00,100000.0
2024-01-01 00:00:00,99999.2409934283
2024-01-01 00:01:00,99998.48170346023
2024-01-01 00:02:00,99997.72373186321
2024-01-01 00:03:00,99996.96896079181
2024-01-01 00:04:00,99996.14661109017
2024-01-01 00:05:00,99995.39078720433
2024-01-01 00:06:00,99994.63845149279
2024-01-01 00:07:00,99993.8137048678
2024-01-01 00:08:00,99993.06203632712
2024-01-01 00:09:00,99992.2372150295
2024-01-01 00:10:00,99991.4129688633
2024-01-01 00:11:00,99990.6603319796
2024-01-01 00:12:00,99989.90826810026
2024-01-01 00:13:00,99989.15161845929
2024-01-01 00:14:00,99988.39123002795
2024-01-01 00:15:00,99987.62972794205
2024-01-01 00:16:00,99986.81145378214
2024-01-01 00:17:00,99986.04857636258
2024-01-01 00:18:00,99985.28401353316
2024-01-01 00:19:00,99984.5169483014
2024-01-01 00:20:00,99983.69927414722
2024-01-01 00:21:00,99982.93422341507
2024-01-01 00:22:00,99982.16929068598
2024-01-01 00:23:00,99981.40185985537
2024-01-01 00:24:00,99980.58601852301
2024-01-01 00:25:00,99979.8178769039
2024-01-01 00:26:00,99979.00286443325
2024-01-01 00:27:00,99978.18756995483
2024-01-01 00:28:00,99977.41724026612
2024-01-01 00:29:00,99976.60262147659
2024-01-01 00:30:00,99975.83097943343
2024-01-01 00:31:00,99975.0154872844
2024-01-01 00:32:00,99974.2000055904
2024-01-01 00:33:00,99973.4293314627
2024-01-01 00:34:00,99972.65986342734
2024-01-01 00:35:00,99971.8455293139
2024-01-01 00:36:00,99971.07449692822
2024-01-01 00:37:00,99970.30062619413
2024-01-01 00:38:00,99969.52502023372
2024-01-01 00:39:00,99968.74965438535
2024-01-01 00:40:00,99967.93688252209
2024-01-01 00:41:00,99967.16264511783
2024-01-01 00:42:00,99966.38825874357
2024-01-01 00:43:00,99965.61348675143
2024-01-01 00:44:00,99964.80180525161
2024-01-01 00:45:00,99964.02432736526
2024-01-01 00:46:00,99963.2133256724
2024-01-01 00:47:00,99962.43649207153
2024-01-01 00:48:00,99961.62470986201
2024-01-01 00:49:00,99960.8461970302
2024-01-01 00:50:00,99960.06803238073
2024-01-01 00:51:00,99959.28944731093
2024-01-01 00:52:00,99958.47910225177
2024-01-01 00:53:00,99957.66844080124
2024-01-01 00:54:00,99956.89086289734
2024-01-01 00:55:00,99956.07912981798
2024-01-01 00:56:00,99955.26788906891
2024-01-01 00:57:00,99954.4900229892
2024-01-01 00:58:00,99953.71252351739
2024-01-01 00:59:00,99952.93612155961
2024-01-01 01:00:00,99952.15915422315
2024-01-01 01:01:00,99951.3477447969
2024-01-01 01:02:00,99950.53696650302
2024-01-01 01:03:00,99949.72683286246
2024-01-01 01:04:00,99948.94792352803
2024-01-01 01:05:00,99948.17044439385
2024-01-01 01:06:00,99947.3592245042
2024-01-01 01:07:00,99946.54744163812
2024-01-01 01:08:00,99945.73544571661
2024-01-01 01:09:00,99944.9238367354
2024-01-01 01:10:00,99944.11201798244
2024-01-01 01:11:00,99943.33747325577
2024-01-01 01:12:00,99942.56288293103
2024-01-01 01:13:00,99941.74918416623
2024-01-01 01:14:00,99940.93727976503
2024-01-01 01:15:00,99940.16206699316
2024-01-01 01:16:00,99939.38696210406
2024-01-01 01:17:00,99938.57470064414
2024-01-01 01:18:00,99937.79933607609
2024-01-01 01:19:00,99937.0215232771
2024-01-01 01:20:00,99936.2434667829
2024-01-01 01:21:00,99935.43229912245
2024-01-01 01:22:00,99934.62030623107
2024-01-01 01:23:00,99933.843670458
2024-01-01 01:24:00,99933.03246059023
2024-01-01 01:25:00,99932.25431786275
2024-01-01 01:26:00,99931.47717554495
2024-01-01 01:27:00,99930.66555884163
2024-01-01 01:28:00,99929.85424984168
2024-01-01 01:29:00,99929.04265061466
2024-01-01 01:30:00,99928.23099508641
2024-01-01 01:31:00,99927.45543514981
2024-01-01 01:32:00,99926.6790173021
2024-01-01 01:33:00,99925.90221310547
2024-01-01 01:34:00,99925.12495414565
2024-01-01 01:35:00,99924.34603109321
2024-01-01 01:36:00,99923.53533658665
2024-01-01 01:37:00,99922.75700478553
2024-01-01 01:38:00,99921.9461679161
2024-01-01 01:39:00,99921.13545815619
