,equity
2023-01-03 15:59:00,100000.0
2023-01-03 15:59:00,100000.0
2023-01-03 15:59:00,100000.0
2023-01-03 15:59:00,100000.0
2023-01-03 15:59:00,100000.0
2023-01-03 15:59:00,100000.0
2023-01-03 15:59:00,100000.0703125
2023-01-04 07:00:00,100000.0703125
2023-01-04 07:05:00,99998.484375
2023-01-04 07:35:00,99998.5625
2023-01-04 08:20:00,99998.5625
2023-01-04 08:25:00,99998.5625
2023-01-04 08:30:00,99998.5625
2023-01-04 08:35:00,99996.9765625
2023-01-04 08:40:00,99997.0546875
2023-01-04 09:15:00,99997.1328125
2023-01-04 09:35:00,99997.1328125
2023-01-04 09:40:00,99997.1328125
2023-01-04 09:45:00,99997.1328125
2023-01-04 09:50:00,99997.1328125
2023-01-04 09:55:00,99997.1328125
2023-01-04 10:00:00,99997.1328125
2023-01-04 10:05:00,99997.1328125
2023-01-04 10:10:00,99997.1328125
2023-01-04 10:15:00,99997.1328125
2023-01-04 10:20:00,99997.1328125
2023-01-04 10:25:00,99997.1328125
2023-01-04 10:30:00,99997.1328125
2023-01-04 10:35:00,99997.1328125
2023-01-04 10:40:00,99997.1328125
2023-01-04 10:45:00,99997.1328125
2023-01-04 10:50:00,99997.1328125
2023-01-04 10:55:00,99995.546875
2023-01-04 11:10:00,99995.6328125
2023-01-04 13:20:00,99995.6328125
2023-01-04 13:25:00,99995.6328125
2023-01-04 13:30:00,99995.6328125
2023-01-04 13:35:00,99994.046875
2023-01-04 14:20:00,99994.046875
2023-01-04 14:25:00,99994.046875
2023-01-04 14:30:00,99994.046875
2023-01-04 14:35:00,99994.046875
2023-01-04 14:40:00,99994.125
2023-01-04 15:25:00,99994.2109375
2023-01-04 15:35:00,99992.625
2023-01-05 07:00:00,99992.625
2023-01-05 07:05:00,99992.625
2023-01-05 07:10:00,99992.625
2023-01-05 07:15:00,99992.625
2023-01-05 07:20:00,99992.625
2023-01-05 07:25:00,99992.625
2023-01-05 07:30:00,99992.625
2023-01-05 07:35:00,99992.625
2023-01-05 07:40:00,99992.625
2023-01-05 07:45:00,99992.625
2023-01-05 07:50:00,99992.625
2023-01-05 07:55:00,99992.625
2023-01-05 08:00:00,99992.625
2023-01-05 08:05:00,99992.625
2023-01-05 08:10:00,99992.625
2023-01-05 08:15:00,99992.625
2023-01-05 08:20:00,99992.625
2023-01-05 08:25:00,99992.625
2023-01-05 08:30:00,99992.625
2023-01-05 08:35:00,99992.625
2023-01-05 08:40:00,99992.625
2023-01-05 08:45:00,99992.625
2023-01-05 08:50:00,99992.625
2023-01-05 08:55:00,99992.625
2023-01-05 09:00:00,99992.625
2023-01-05 09:05:00,99992.625
2023-01-05 09:10:00,99992.625
2023-01-05 09:15:00,99992.625
2023-01-05 09:20:00,99992.625
2023-01-05 09:25:00,99992.625
2023-01-05 09:30:00,99992.625
2023-01-05 09:35:00,99992.625
2023-01-05 09:40:00,99992.625
2023-01-05 09:45:00,99992.625
2023-01-05 09:50:00,99992.625
2023-01-05 09:55:00,99992.625
2023-01-05 10:00:00,99992.625
2023-01-05 10:05:00,99992.625
2023-01-05 10:10:00,99992.625
2023-01-05 10:15:00,99992.625
2023-01-05 10:20:00,99992.625
2023-01-05 10:25:00,99992.625
2023-01-05 10:30:00,99992.625
2023-01-05 10:35:00,99992.625
2023-01-05 10:40:00,99992.625
2023-01-05 10:45:00,99992.625
2023-01-05 10:50:00,99992.625
